date,equity,cash,n_positions,exposure,drawdown
2024-03-20,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-21,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-22,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-23,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-24,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-25,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-26,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-27,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-28,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-29,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-30,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-31,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-01,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-02,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-03,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-04,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-05,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-06,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-07,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-08,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-09,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-10,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-11,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-12,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-04-13,103859.20021289564,79362.36200660399,2,0.23586584680102338,0.09602085500882214
2024-04-14,106239.76402178823,60383.20057094771,3,0.4316327683242595,0.07530068739585734
2024-04-15,105055.84546847848,60383.20057094771,3,0.42522759869592025,0.08560538528844955
2024-04-16,104856.93922461985,60383.20057094771,3,0.4241372958484177,0.08733664352930015
2024-04-17,104477.86005553877,60383.20057094771,3,0.4220478813516188,0.09063610724987037
2024-04-18,105642.49314167413,60383.20057094771,3,0.42841939095502485,0.08049926795903244
2024-04-19,105735.01318313248,60383.20057094771,3,0.42891953428554147,0.0796939836144522
2024-04-20,108098.27366336278,60383.20057094771,3,0.4414045800676548,0.05912442228593384
2024-04-21,107616.54791215232,60383.20057094771,3,0.43890413005778,0.06331731065602347
2024-04-22,110454.11554017398,79926.98147101024,2,0.276378421210213,0.03861943167201828
2024-04-23,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-24,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-25,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-26,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-27,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-28,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-29,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-04-30,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-05-01,110423.42873885739,110423.42873885739,0,0.0,0.038886526241972856
2024-05-02,110977.87622161109,70581.35432912907,2,0.3640051807426413,0.03406067585630839
2024-05-03,113551.29839090939,70581.35432912907,2,0.37841878226572867,0.011661890120090385
2024-05-04,114235.67406359657,70581.35432912907,2,0.3821426195652729,0.005705158947692015
2024-05-05,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-06,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-07,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-08,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-09,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-10,114192.68898645158,114192.68898645158,0,0.0,0.006079296368404399
2024-05-11,114184.54258659946,93617.45028487273,1,0.18012151063379095,0.006150201743739289
2024-05-12,114405.1959813249,73021.91534469425,2,0.3617255342439683,0.0042296586749074
2024-05-13,114697.09458986411,73021.91534469425,2,0.36334991216815654,0.0016890050396926534
2024-05-14,113733.38830142647,73021.91534469425,2,0.35795533365131976,0.010076999409557892
2024-05-15,115936.275144826,73021.91534469425,2,0.37015472289862444,0.0
2024-05-16,114637.34462059308,73021.91534469425,2,0.3630180846706665,0.011203831782678093
2024-05-17,116742.57545186071,73021.91534469425,2,0.3745048448515243,0.0
2024-05-18,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-19,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-20,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-21,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-22,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-23,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-24,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-25,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-26,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-27,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-28,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-29,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-30,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-05-31,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-01,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
2024-06-02,116704.9926832418,116704.9926832418,0,0.0,0.00032192855497189545
